========== Nodal Displacements ==========
Units: mm (U, V), rad (θ)

Element 1
  Node 1              0       3.5558            0
  Node 4         4.6404       3.5558   -0.0014046

Element 2
  Node 2              0            0   -0.0014328
  Node 5         4.6202        0.124  -0.00059962

Element 3
  Node 3              0            0            0
  Node 6         4.5672     -0.17162   -0.0009372

Element 4
  Node 4         4.6404       3.5558   -0.0014046
  Node 5         4.6202        0.124  -0.00059962

Element 5
  Node 5         4.6202        0.124  -0.00059962
  Node 6         4.5672     -0.17162   -0.0009372

Element 6
  Node 4         4.6404       3.5558   -0.0014046
  Node 7         8.7113       3.5341   -0.0007147

Element 7
  Node 5         4.6202        0.124  -0.00059962
  Node 8         8.6097      0.16545  -0.00068126

Element 8
  Node 6         4.5672     -0.17162   -0.0009372
  Node 9         8.5618     -0.23906  -0.00042021

Element 9
  Node 7         8.7113       3.5341   -0.0007147
  Node 8         8.6097      0.16545  -0.00068126

Element 10
  Node 8         8.6097      0.16545  -0.00068126
  Node 9         8.5618     -0.23906  -0.00042021


========== Reaction Forces ==========
Units: KN, KN·m

Node   (X, Y) [mm]           Fx (KN)    Fy (KN)     M (KN·m)
--------------------------------------------------------------
 1    (   0.0,    0.0)       -72.102      0.000    217.948
 2    (4000.0,    0.0)       -21.870   -130.198      0.000
 3    (8000.0,    0.0)      -106.029    380.198    261.260

========== Element Internal Forces & Displacement ==========
Units: Position (m), BM (KN·m), SF (KN), Disp (mm)

Element 1 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           43.524          -116.72567      56.22001        4.62017         0.00000        
0.400           43.524          -94.23767       56.22001        4.90164         0.00415        
0.800           43.524          -71.74966       56.22001        5.25490         0.00829        
1.200           43.524          -49.26166       56.22001        5.66282         0.01244        
1.600           43.524          -26.77366       56.22001        6.10828         0.01658        
2.000           43.524          -4.28565        56.22001        6.57414         0.02073        
2.400           43.524          18.20235        56.22001        7.04327         0.02487        
2.800           43.524          40.69036        56.22001        7.49852         0.02902        
3.200           43.524          63.17836        56.22001        7.92278         0.03316        
3.600           43.524          85.66636        56.22001        8.29890         0.03731        
4.000           43.524          108.15437       56.22001        8.60974         0.04145        

Element 8 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -70.813         -73.63823       50.38997        4.56719         0.00000        
0.400           -70.813         -53.48224       50.38997        4.96756         -0.00674       
0.800           -70.813         -33.32625       50.38997        5.40868         -0.01349       
1.200           -70.813         -13.17026       50.38997        5.87519         -0.02023       
1.600           -70.813         6.98572         50.38997        6.35174         -0.02698       
2.000           -70.813         27.14171        50.38997        6.82296         -0.03372       
2.400           -70.813         47.29770        50.38997        7.27351         -0.04046       
2.800           -70.813         67.45369        50.38997        7.68802         -0.04721       
3.200           -70.813         87.60968        50.38997        8.05113         -0.05395       
3.600           -70.813         107.76567       50.38997        8.34750         -0.06070       
4.000           -70.813         127.92166       50.38997        8.56175         -0.06744       

Element 9 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -106.610        -43.66466       22.71035        8.71128         3.53414        
0.400           -106.610        -34.58052       22.71035        -0.01015        3.23278        
0.800           -106.610        -25.49638       22.71035        -0.02031        2.90507        
1.200           -106.610        -16.41224       22.71035        -0.03046        2.55793        
1.600           -106.610        -7.32810        22.71035        -0.04061        2.19829        
2.000           -106.610        1.75604         22.71035        -0.05077        1.83307        
2.400           -106.610        10.84018        22.71035        -0.06092        1.46919        
2.800           -106.610        19.92432        22.71035        -0.07107        1.11356        
3.200           -106.610        29.00847        22.71035        -0.08123        0.77311        
3.600           -106.610        38.09261        22.71035        -0.09138        0.45477        
4.000           -106.610        47.17675        22.71035        8.60974         0.16545        

Element 10 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -50.390         155.33112       -70.81319       8.60974         0.16545        
0.400           -50.390         127.00584       -70.81319       -0.00480        -0.05148       
0.800           -50.390         98.68056        -70.81319       -0.00960        -0.17164       
1.200           -50.390         70.35528        -70.81319       -0.01440        -0.21661       
1.600           -50.390         42.03001        -70.81319       -0.01920        -0.20798       
2.000           -50.390         13.70473        -70.81319       -0.02400        -0.16733       
2.400           -50.390         -14.62055       -70.81319       -0.02879        -0.11623       
2.800           -50.390         -42.94583       -70.81319       -0.03359        -0.07628       
3.200           -50.390         -71.27110       -70.81319       -0.03839        -0.06904       
3.600           -50.390         -99.59638       -70.81319       -0.04319        -0.11611       
4.000           -50.390         -127.92166      -70.81319       8.56175         -0.23906       

