========== Nodal Displacements ==========
Units: mm (U, V), rad (θ)

Element 1
  Node 1              0            0            0
  Node 4         1.9502     0.028324  -0.00051911

Element 2
  Node 2         2.4022            0   0.00012997
  Node 5         1.8823    -0.039105   0.00012997

Element 3
  Node 3              0            0            0
  Node 6         1.8459    -0.036839  -0.00036306

Element 4
  Node 4         1.9502     0.028324  -0.00051911
  Node 5         1.8823    -0.039105   0.00012997

Element 5
  Node 5         1.8823    -0.039105   0.00012997
  Node 6         1.8459    -0.036839  -0.00036306

Element 6
  Node 4         1.9502     0.028324  -0.00051911
  Node 7         2.8557     0.029991   0.00015746

Element 7
  Node 5         1.8823    -0.039105   0.00012997
  Node 8         2.7673    -0.069119  -0.00022924

Element 8
  Node 6         1.8459    -0.036839  -0.00036306
  Node 9         2.7618    -0.056111  -2.1212e-05

Element 9
  Node 7         2.8557     0.029991   0.00015746
  Node 8         2.7673    -0.069119  -0.00022924

Element 10
  Node 8         2.7673    -0.069119  -0.00022924
  Node 9         2.7618    -0.056111  -2.1212e-05


========== Reaction Forces ==========
Units: KN, KN·m

Node   (X, Y) [mm]           Fx (KN)    Fy (KN)     M (KN·m)
--------------------------------------------------------------
 1    (   0.0,    0.0)       -35.910    -29.741     99.073
Element 7 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -31.515         -32.91109       -32.97363       1.88235         0.00000        
0.400           -31.515         -43.70054       -20.97363       1.84442         -0.00300       
0.800           -31.515         -49.68999       -8.97363        1.83949         -0.00600       
1.200           -31.515         -50.87944       3.02637         1.87210         -0.00900       
1.600           -31.515         -47.26889       15.02637        1.94318         -0.01201       
2.000           -31.515         -38.85834       27.02637        2.04997         -0.01501       
2.400           -31.515         -25.64779       39.02637        2.18606         -0.01801       
2.800           -31.515         -7.63725        51.02637        2.34139         -0.02101       
3.200           -31.515         15.17330        63.02637        2.50223         -0.02401       
3.600           -31.515         42.78385        75.02637        2.65121         -0.02701       
4.000           -31.515         75.19440        87.02637        2.76728         -0.03001       

Element 8 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -20.235         6.34515         5.80099         1.84588         0.00000        
0.400           -20.235         8.66554         5.80099         1.98839         -0.00193       
0.800           -20.235         10.98594        5.80099         2.12430         -0.00385       
1.200           -20.235         13.30634        5.80099         2.25184         -0.00578       
1.600           -20.235         15.62673        5.80099         2.36925         -0.00771       
2.000           -20.235         17.94713        5.80099         2.47474         -0.00964       
2.400           -20.235         20.26753        5.80099         2.56657         -0.01156       
2.800           -20.235         22.58792        5.80099         2.64295         -0.01349       
3.200           -20.235         24.90832        5.80099         2.70212         -0.01542       
3.600           -20.235         27.22872        5.80099         2.74231         -0.01734       
4.000           -20.235         29.54912        5.80099         2.76176         -0.01927       

Element 9 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -92.827         -16.80127       -1.75025        2.85569         0.02999        
0.400           -92.827         -17.50137       -1.75025        -0.00884        0.08649        
0.800           -92.827         -18.20147       -1.75025        -0.01768        0.12965        
1.200           -92.827         -18.90157       -1.75025        -0.02652        0.15894        
1.600           -92.827         -19.60167       -1.75025        -0.03536        0.17383        
2.000           -92.827         -20.30177       -1.75025        -0.04420        0.17379        
2.400           -92.827         -21.00187       -1.75025        -0.05304        0.15828        
2.800           -92.827         -21.70197       -1.75025        -0.06188        0.12676        
3.200           -92.827         -22.40207       -1.75025        -0.07073        0.07871        
3.600           -92.827         -23.10217       -1.75025        -0.07957        0.01360        
4.000           -92.827         -23.80228       -1.75025        2.76728         -0.06912       

Element 10 (Length: 4.000 m)
